Id,Label,timeset,lat,lng,kind of node,weight,modularity_class,indegree,outdegree,Degree,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
https://www.instagram.com/hiphopphotomuseum/,hiphopphotomuseum,,,,a,1,0,4,5,9,4,0.001851,0.471541,0.140497,0,0,7,0.211474,0.224767,1218.706738
https://www.instagram.com/naturallyalise/,naturallyalise,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/slolowvinylrecords/,slolowvinylrecords,,,,a,1,0,8,11,19,8,0.003702,0.471541,0.121216,51.513609,0.008202,8,0.195972,0.20801,226.254572
https://www.instagram.com/_.killatapes7s._/,_.killatapes7s._,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/_scot.sman_/,_scot.sman_,,,,a,1,4,,,,,,,,,,,,,
https://www.instagram.com/fashawn/,fashawn,,,,a,1,0,2,4,6,2,0.000925,0.472466,0.106699,0,0,2,0.625,0.7,0
https://www.instagram.com/zumhufeisen/,zumhufeisen,,52.448087,13.449578,a,1,1,4,9,13,4,0.001851,0.471541,0.122796,103.011553,0.016401,6,0.301508,0.318704,12.052479
https://www.instagram.com/kasia.jasmina/,kasia.jasmina,,,,a,1,0,,,,,,,,,,,,,
https://www.instagram.com/petazwei_streetteam_dortmund/,petazwei_streetteam_dortmund,,,,a,1,7,7,7,14,7,0.003239,0.471541,0.146897,103.018737,0.016402,5,0.318115,0.342724,2322.142532
https://www.instagram.com/geborgen_wachsen/,geborgen_wachsen,,,,a,1,7,18,5,23,18,0.008329,0.471541,0.151865,310.838322,0.049491,7,0.213081,0.224092,2672.489333
https://www.instagram.com/call_me_hugoooo/,call_me_hugoooo,,,,a,1,1,,,,,,,,,,,,,
https://www.instagram.com/ceagjscjs/,ceagjscjs,,,,a,1,1,,,,,,,,,,,,,
